粉絲專頁名稱,貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
黃大謙,2017-11-29 13:00:00+00:00,1055855627823376_1506261512782783,"最正向的Q&A問答時間第三集

如何面對酸民？阿滴跟聖結石掉到水裡要救誰？
這些已經堆積一個月的問題讓我現在來好好回答",,15634,436
黃大謙,2017-11-21 14:37:10+00:00,1055855627823376_1498063296935938,"穿搭大改造!! 挑戰成為崩壞GD和小田切壤!! feat. Meg 今天穿什麼
Youtube完整版影片：https://youtu.be/pGSdhXkZQoI

我不行了，我覺得心很累
美妝界不適合我",,8028,68
黃大謙,2017-11-21 04:01:07+00:00,1055855627823376_1497627253646209,"哈囉大家，美食界非主流網美的直播開始囉

今天要搶先試吃必勝客起司七重奏系列的新口味比薩——龍蝦楓培根配上新的流金起司餅皮

期望您的午餐便當在我的襯托之下會變得更加美味

#必勝客 #起司七重奏
試吃活動：https://goo.gl/wuiZAU",黃大謙 was live.,3423,305
黃大謙,2017-11-20 11:20:00+00:00,1055855627823376_1496775093731425,"今天沒有影片，但是明天有直播
明天11/21號中午12:00我要直播吃披薩，歡迎大家邊吃午餐邊看我的直播當配飯，我相信以我非主流界網美的顏值，我的直播一定是很下飯的。

本日貼文的贊助好康：
11/21起連續三天的中午12-14點，出示官方活動圖片可於必勝客門市兌換限時限量比薩一片！

OK，大家明天中午12點見
試吃活動：https://goo.gl/wuiZAU",,2996,5
黃大謙,2017-11-13 13:13:12+00:00,1055855627823376_1489791611096440,"惡作劇電話大挑戰 feat. 大馬女神JoyceChu 四葉草 !!

我們打電話給我們的朋友
但我們聽不到對方的回答
讓我們一起來看情況會變得多荒謬",,3206,23
黃大謙,2017-11-10 13:13:01+00:00,1055855627823376_1486904941385107,"再度陪伴單身男子聊天 【亂入Wootalk 2精華版】
12分鐘完整版影片→https://youtu.be/4OYAuOSsS38

今天我們又要來當愛的小天使
在聊天網站上幫寂寞男子排解孤獨的心情

請標記單身的朋友",,8956,144
黃大謙,2017-11-09 10:00:01+00:00,1055855627823376_1485869314822003,"大家知道11/11號是什麼日子嗎？

是Glico Pocky day百琪節喔！
不是什麼光棍節呦~ 我才不過那種單身狗才能過的節日，我只是習慣孤獨而已，我...我才沒有很想要有人陪呢！嗚...嗚嗚......

anyway，重新進入主題
Pocky的總公司Glico為了慶祝百琪節，特別隆重推出Smile shuffle活動
可以讓你和朋友的臉一起拼貼在一塊喔！
如果你沒朋友的話，也可以像我一樣自己一個人玩喔！ (為什麼聽起來有點悲傷)

快去活動網站做出自己的照片
→http://pocky.glico.com/smileshuffle/tw/?utm_source=fbig&utm_medium=kol&utm_campaign=tw&utm_content=inf_32

#飯後Pocky
#PockyDay
#smileshuffle",黃大謙 added 4 new photos.,2502,12
黃大謙,2017-11-07 13:03:01+00:00,1055855627823376_1484041168338151,"口感直逼現做的超商拉麵!? 7-11新品拉麵搶先試吃

今天我又要跨界跨到美食界試吃7-11新品
到底超商拉麵有沒有這麼厲害
請看我這個第一次拍試吃影片的專業美食評論家(?)來評論看看",,18371,387
黃大謙,2017-10-28 13:00:00+00:00,1055855627823376_1474767049265563,"如何正確的偷吃同學的零食

跟同學要零食吃是學生時代必備的技能
今天我要來教大家如何吃遍所有同學的零食
請標記愛偷吃別人零食的同學，叫他們好好學習，老師只教一遍

#卡迪那狂起司",,21220,659
黃大謙,2017-10-28 12:26:48+00:00,1055855627823376_1475126232562978,"所有在遊行跟我合照的人都把照片Po上來
我要檢查，如果把我拍太醜我要直接要求銷毀

感謝所有遊行工作人員的服務跟警察的治安維護，因為有你們這場遊行才能圓滿結束🐔",黃大謙 added 4 new photos — with 黃大謙.,14129,23
黃大謙,2017-10-25 13:33:36+00:00,1055855627823376_1471582019584066,"10/28凱達格蘭大道同志大遊行
我會在現場拍攝學校作業，遇到我請尖叫外加要求合照讓我的同學誤以為我很紅

我室友(異男)會在現場擔任交通組志工，在此給予他口頭嘉獎以及一輪的掌聲，感謝所有志工們無私的付出

最後響應這次的同遊主題，支持性別平等教育，終止任何人因生理性別、性傾向、性別認同、性別氣質而遭受歧視與霸凌。
同志教育不會讓你的小孩「變成」同性戀，而是會讓所有在傳統男女有別的兩性觀念下迷惘的青少年，不必再為了社會的眼光否定真實的自己，而能在性別光譜間找到屬於自己舒適的空間，全力追求自己的成就。",,9646,55
黃大謙,2017-10-16 08:09:30+00:00,1055855627823376_1464319526976982,"今天晚上八點，浪直播有我亂入德古拉的晚餐，以超菜新手身分玩狼人殺的畫面

可以來看我耍蠢",黃大謙 shared 浪Live's post.,581,0
黃大謙,2017-10-14 14:52:03+00:00,1055855627823376_1462723123803289,"回覆酸民的留言7

到底是要出到第幾集??

到Youtube觀看最新的酸民留言
完整版：https://youtu.be/zViDcoSKG1k",,51794,3420
